person 0.05029948055744171
chair 0.0723763033747673
chair 0.017874348908662796
book 0.018518880009651184
chair 0.011464844457805157
book 0.003750000149011612
chair 0.010361328721046448
tv 0.010361328721046448
laptop 0.010361328721046448
book 0.0031054688151925802
bottle 0.0022526041138917208
dining table 0.1680794358253479
book 0.001373698003590107
book 0.0018196614691987634
book 0.004674479365348816
spoon 0.00020507813314907253
remote 0.00020507813314907253
cell phone 0.00020507813314907253
toothbrush 0.00020507813314907253
book 0.001744791748933494
book 0.0021744791883975267
clock 0.0021744791883975267
book 0.0051725259982049465
book 0.000885416695382446
book 0.0013411458348855376
book 0.009524740278720856
dining table 0.045299481600522995
book 0.005911458283662796
cup 0.0014322916977107525
book 0.008968099020421505
book 0.014072266407310963
dining table 0.04572916775941849
dining table 0.003955078311264515
bowl 0.0013313802191987634
laptop 0.016263021156191826
book 0.016263021156191826
couch 0.013759765774011612
handbag 0.008277994580566883
laptop 0.008277994580566883
book 0.008277994580566883
chair 0.004856770858168602
book 0.004707031417638063
book 0.002454427070915699
book 0.002093099057674408
chair 0.0059928386472165585
bowl 0.0017675781855359674
book 0.0025716146919876337
chair 0.014794922433793545
book 0.004192708525806665
bowl 0.0025195314083248377
book 0.003466797061264515
book 0.0024902343284338713
chair 0.0034374999813735485
book 0.0029134114738553762
cup 0.0002669270907063037
chair 0.10852539539337158
chair 0.003557942807674408
book 0.002835286548361182
dining table 0.010110677219927311
book 0.007366536650806665
dining table 0.08361653983592987
mouse 0.0021679687779396772
book 0.001770833390764892
book 0.002672526054084301
book 0.0039127604104578495
book 0.002659505233168602
book 0.021097006276249886
book 0.0013118489878252149
book 0.00782877579331398
cup 0.0008007812430150807
