person 0.01987304724752903
couch 0.08803059905767441
chair 0.023180339485406876
couch 0.023180339485406876
chair 0.014238281175494194
potted plant 0.0015690104337409139
vase 0.00031901043257676065
chair 0.0027669272385537624
book 0.0004394531424622983
couch 0.018183594569563866
clock 0.0016666667070239782
chair 0.0019466145895421505
couch 0.0019466145895421505
dining table 0.035888671875
chair 0.011764323338866234
couch 0.011764323338866234
chair 0.015631509944796562
couch 0.015631509944796562
vase 0.0005208333604969084
chair 0.00646158866584301
chair 0.0014485677238553762
bowl 0.00146484375
book 0.00146484375
book 0.00035481771919876337
chair 0.0063281250186264515
book 0.004101562779396772
vase 0.0013346354244276881
book 0.002786458469927311
chair 0.003750000149011612
potted plant 0.0013248698087409139
book 0.0011132812360301614
vase 0.00048828125
book 0.0017057291697710752
dining table 0.027272136881947517
book 0.0003124999930150807
vase 0.0004134114715270698
couch 0.0038313802797347307
bowl 0.002513020997866988
book 0.002513020997866988
chair 0.0013769532088190317
