ceiling 0.3332975260416667
chair 0.002692057291666667
chair 0.0029264322916666666
chair 0.003955078125
chair 0.004912109375
chair 0.0025130208333333333
chair 0.009192708333333334
chair 0.004651692708333334
chair 0.0018359375
floor 0.09427734375
chair 0.004388020833333333
bench 0.02720703125
wall 0.11416015625
chair 0.014736328125
dining table 0.009440104166666666
door 0.011819661458333333
chair 0.014996744791666667
stairs 0.011009114583333333
window 0.07889973958333334
dining table 0.0066796875
