tv 0.03418945521116257
bed 0.1623600274324417
dining table 0.11501302570104599
remote 0.0022428384982049465
book 0.0022428384982049465
remote 0.005061849020421505
cell phone 0.005061849020421505
book 0.005061849020421505
clock 0.005061849020421505
book 0.0026497396174818277
remote 0.0020312501583248377
cell phone 0.0020312501583248377
book 0.0020312501583248377
cup 0.0026171875651925802
remote 0.0010839843889698386
remote 0.0013606770662590861
remote 0.0007584635750390589
cell phone 0.0007584635750390589
cup 0.0020605470053851604
book 0.0029720051679760218
bed 0.1173209697008133
book 0.0009179687476716936
book 0.0012499999720603228
remote 0.0020149738993495703
bed 0.02153320424258709
bed 0.035120442509651184
book 0.0015071615343913436
book 0.0011848958674818277
remote 0.0015299479709938169
book 0.0015299479709938169
bed 0.14158204197883606
book 0.0007291666697710752
bed 0.09689127653837204
remote 0.0013834636192768812
book 0.0013834636192768812
book 0.0047330730594694614
book 0.000501302070915699
remote 0.0008072917116805911
book 0.0008072917116805911
bed 0.018759766593575478
