microwave 0.008470051921904087
oven 0.022207031026482582
potted plant 0.011269531212747097
bottle 0.003968099132180214
cup 0.0008463541744276881
sink 0.0013346354244276881
cup 0.012057292275130749
bowl 0.012057292275130749
bottle 0.00657552108168602
cell phone 0.0015234375605359674
dining table 0.146484375
refrigerator 0.006858724169433117
book 0.006858724169433117
cup 0.0005143229500390589
sink 0.002529297024011612
bottle 0.0007747396011836827
cup 0.0007747396011836827
book 0.01302083395421505
book 0.0015559896128252149
bowl 0.0016764323227107525
bowl 0.001295572961680591
bowl 0.0006152343703433871
cup 0.0032942709513008595
bottle 0.0006152343703433871
cup 0.001783854211680591
cup 0.005628255195915699
vase 0.005628255195915699
sink 0.001940104179084301
book 0.014560547657310963
sink 0.0006998698227107525
bottle 0.0040299477986991405
bowl 0.0011588542256504297
sink 0.0005273437709547579
clock 0.001875000074505806
sink 0.0005631510284729302
cup 0.002281901193782687
sink 0.007832031697034836
bottle 0.0009114583372138441
dining table 0.08838541805744171
sink 0.0051595051772892475
knife 0.0005371093866415322
sink 0.000706380233168602
cup 0.00026367188547737896
sink 0.0014029948506504297
sink 0.0009147135424427688
sink 0.0006770833279006183
chair 0.02993815205991268
dining table 0.02993815205991268
sink 0.0017382813384756446
cup 0.0006347656599245965
