motorcycle 0.0014285084325820208
potted plant 0.001256558345630765
potted plant 0.000831092067528516
potted plant 0.0002909924660343677
potted plant 0.002228737575933337
potted plant 0.001549755223095417
potted plant 0.0013359199510887265
potted plant 0.0010030422126874328
potted plant 0.0004166482831351459
potted plant 0.0006525285425595939
potted plant 0.0018936553969979286
potted plant 0.0005533265648409724
potted plant 0.0007693663937970996
stop sign 0.0006833913503214717
potted plant 0.0006811868515796959
potted plant 0.00041223931475542486
potted plant 0.0005334861925803125
potted plant 0.0005136457621119916
potted plant 0.0011353114387020469
bench 0.01742427609860897
potted plant 0.0009964286582544446
potted plant 0.00878047663718462
