person 0.00013888276589568704
traffic light 0.00013888276589568704
fire hydrant 0.00013888276589568704
stop sign 0.00013888276589568704
parking meter 0.00013888276589568704
cell phone 0.00013888276589568704
parking meter 7.274811650859192e-05
person 0.0005643490003421903
fire hydrant 0.0005643490003421903
parking meter 0.0005643490003421903
fire hydrant 0.0003968078817706555
parking meter 0.0003968078817706555
parking meter 5.952118226559833e-05
fire hydrant 0.0002579251304268837
traffic light 0.0016004585195332766
parking meter 0.0001785635540727526
parking meter 5.070323095424101e-05
traffic light 0.000925885105971247
traffic light 3.968078817706555e-05
parking meter 3.968078817706555e-05
