person 0.0009457254782319069
fire hydrant 0.0009457254782319069
traffic light 0.0012455359101295471
fire hydrant 0.00041444378439337015
stop sign 0.00041444378439337015
parking meter 0.00041444378439337015
fire hydrant 0.0004651470226235688
stop sign 0.00012565583165269345
traffic light 0.0004431021516211331
traffic light 0.0003968078817706555
stop sign 0.00022706229356117547
person 2.86583472188795e-05
fire hydrant 2.86583472188795e-05
bird 2.86583472188795e-05
traffic light 0.0008862043032422662
traffic light 3.527181252138689e-05
traffic light 0.00018076803826261312
traffic light 0.00011904236453119665
fire hydrant 0.00042105725151486695
stop sign 0.00042105725151486695
parking meter 0.00042105725151486695
traffic light 0.0003372867067810148
traffic light 0.0002954014344140887
fire hydrant 5.7316694437759e-05
traffic light 0.00046073805424384773
traffic light 0.0003593315777834505
traffic light 0.0027445878367871046
stop sign 0.0027445878367871046
traffic light 0.0005687579978257418
traffic light 0.00042105725151486695
