chair 0.028642578050494194
teddy bear 0.003974609542638063
book 0.004199218936264515
book 0.007132161408662796
book 0.0024739583022892475
bed 0.1456705778837204
bottle 0.004095052368938923
cup 0.004095052368938923
vase 0.004095052368938923
clock 0.0023307292722165585
refrigerator 0.05321614816784859
bottle 0.0015950520755723119
cup 0.0015950520755723119
book 0.0018098958535119891
book 0.002102864673361182
book 0.0018684896640479565
book 0.0009016927215270698
book 0.00146484375
book 0.002581380307674408
book 0.010211588814854622
clock 0.0006477864808402956
handbag 0.01361002679914236
book 0.002620442770421505
book 0.0010611979523673654
teddy bear 0.0019824218470603228
person 0.0016276042442768812
book 0.0035221355501562357
book 0.0022526041138917208
clock 0.0043098959140479565
book 0.0015527344075962901
book 0.003518880344927311
refrigerator 0.1536816507577896
potted plant 0.0017187499906867743
person 0.000732421875
book 0.0038899739738553762
person 0.002184244804084301
handbag 0.010035807266831398
book 0.0020442709792405367
book 0.0033626302611082792
book 0.0010839843889698386
teddy bear 0.001282552140764892
clock 0.0021679687779396772
book 0.008408203721046448
book 0.0031966145616024733
refrigerator 0.17083008587360382
book 0.003929036669433117
person 0.0006477864808402956
book 0.00877278670668602
teddy bear 0.008489583618938923
book 0.0015039063291624188
