chair 0.029401041567325592
clock 0.009567057713866234
book 0.0008203125325962901
book 0.0033691406715661287
book 0.018369141966104507
clock 0.018369141966104507
book 0.0060188802890479565
tv 0.0016210938338190317
remote 0.0016210938338190317
book 0.0016210938338190317
book 0.001295572961680591
book 0.013193359598517418
clock 0.013193359598517418
clock 0.031930338591337204
remote 0.0012890625512227416
keyboard 0.0012890625512227416
book 0.0012890625512227416
dining table 0.0559895858168602
book 0.0028483073692768812
dining table 0.07963541895151138
